"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.188763917E0,-2.763157890E0,8.349839739E0,-1.496741027E-1,8.796434933E0
2.198774917E0,-2.901608847E0,6.769353721E0,-1.504604947E0,7.517135075E0
2.208786917E0,-3.051258976E0,5.727017949E0,-2.060875130E0,6.808533045E0
2.218797917E0,-3.414110867E0,4.969716983E0,-2.972544343E0,6.722370101E0
2.228809917E0,-3.889801156E0,4.902979202E0,-3.788191166E0,7.315746742E0
2.238820917E0,-3.838183106E0,5.361036628E0,-2.924749203E0,7.212941229E0
2.248832917E0,-3.493371629E0,5.299494098E0,1.109631815E0,6.443567785E0
2.258843917E0,-2.658012089E0,4.946458513E0,5.461146807E0,7.833045674E0
2.268855917E0,-1.671236560E0,4.686543345E0,7.070972984E0,8.646119309E0
2.278866917E0,-1.122182571E0,4.556407129E0,6.673595624E0,8.158248476E0
2.288878917E0,-5.267937845E-1,4.172662552E0,6.293566952E0,7.569518442E0
2.298889917E0,-2.054920618E-1,5.959493887E-1,5.833720279E0,5.867680543E0
2.308901917E0,-1.859336517E0,-1.259079309E1,4.774026170E0,1.359325306E1
2.318912750E0,-2.054921934E0,-2.758024736E1,6.276339301E0,2.835992214E1
2.328923750E0,5.943243013E-1,-3.950735809E1,7.472639862E0,4.021224827E1
2.338935750E0,5.323467098E0,-4.425158305E1,7.735504366E0,4.523693106E1
2.348946750E0,1.044734183E1,-4.016986633E1,6.204082333E0,4.196731764E1
2.358958750E0,1.167576816E1,-2.812838641E1,3.214186670E0,3.062451110E1
2.368969750E0,7.926536994E0,-1.753602661E1,-3.630846101E-1,1.924770242E1
2.378981750E0,4.252869979E0,-1.063256057E1,-3.042932248E0,1.184895287E1
2.388992750E0,1.504905201E0,-6.270520152E0,-4.489186369E0,7.857286866E0
2.399004750E0,2.444364184E-1,-3.967859146E0,-4.894491969E0,6.305529874E0
2.409015750E0,9.006875575E-2,-3.621075404E0,-4.570392500E0,5.831705330E0
2.419027750E0,1.004938881E0,-5.018105031E0,-3.545458919E0,6.225878187E0
2.429038750E0,1.434383541E0,-7.026041810E0,-2.016954062E0,7.449216291E0
2.439050750E0,1.191265816E0,-8.710379641E0,-4.172125778E-1,8.801357513E0
2.449061750E0,1.416028985E0,-8.806289765E0,8.551036875E-1,8.960305789E0
2.459073750E0,1.297216633E0,-7.232940273E0,1.563368002E0,7.512810094E0
2.469084750E0,5.175221470E-1,-4.837040151E0,1.960570824E0,5.244866495E0
2.479096750E0,-2.396851172E-1,-2.481512130E0,1.783655566E0,3.065416544E0
2.489107750E0,-4.722282989E-1,-2.750296354E-1,1.470517872E0,1.568777766E0
2.499119750E0,-4.816645356E-1,1.893848246E0,1.335357875E0,2.366821192E0
2.509130750E0,-4.010724353E-1,4.015639084E0,1.194925369E0,4.208807787E0
2.519142750E0,-1.388805080E-1,6.043612517E0,1.172216465E0,6.157810608E0
2.529153750E0,2.032266312E-1,7.780635515E0,1.274226404E0,7.886903258E0
2.539164750E0,7.071410649E-1,9.250277036E0,1.557414075E0,9.407083093E0
2.549176750E0,9.548307279E-1,1.021618736E1,1.928739166E0,1.044041286E1
2.559187750E0,6.392604460E-1,1.053285268E1,2.231815556E0,1.078566828E1
2.569199750E0,6.649574970E-1,1.057446614E1,2.668859843E0,1.092631299E1
2.579210750E0,8.206729428E-1,1.058846204E1,2.934314078E0,1.101813194E1
2.589222750E0,9.854075727E-1,1.058127347E1,2.918502038E0,1.102052769E1
2.599233750E0,9.181192768E-1,1.052422921E1,3.113966271E0,1.101358839E1
2.609245750E0,6.788405411E-1,1.043917795E1,3.035129431E0,1.089262463E1
2.619256750E0,3.632945982E-1,1.032043971E1,2.606990454E0,1.065081490E1
2.629268750E0,1.225501849E-1,1.023280047E1,2.216187118E0,1.047075496E1
2.639279750E0,-1.113752056E-1,1.014722296E1,1.984284060E0,1.034001554E1
2.649291750E0,-2.447000547E-1,1.011503170E1,1.859827245E0,1.028750221E1
2.659302750E0,-2.496046261E-1,1.041209949E1,2.453536127E0,1.070018494E1
2.669314750E0,-2.090016337E-1,1.093607550E1,3.086445765E0,1.136519144E1
2.679325750E0,-1.524937762E-1,1.073194920E1,2.439128441E0,1.100669504E1
2.689337750E0,-8.518369943E-2,9.505886899E0,1.687182502E0,9.654829195E0
2.699348750E0,-2.704512656E-1,7.922113575E0,7.301371408E-1,7.960284394E0
2.709359750E0,-3.434829160E-1,7.052839015E0,-1.134208394E0,7.151709401E0
2.719371750E0,-2.885410890E-1,6.279039545E0,-4.290130776E0,7.610178424E0
2.729382750E0,8.015070856E-4,5.378579444E0,-7.164142519E0,8.958462787E0
2.739394750E0,3.043033551E-1,4.921726545E0,-7.952821983E0,9.357530134E0
2.749405750E0,1.247233026E-1,4.997082537E0,-7.994481055E0,9.428579804E0
2.759417750E0,2.993530293E-1,6.689907017E0,-6.745174314E0,9.504832700E0
2.769428750E0,-1.123704455E0,7.409365388E0,-1.172626939E0,7.585279236E0
2.779440750E0,-2.694791367E0,7.506149086E0,7.793087161E0,1.115062250E1
2.789451750E0,-3.392291104E0,6.681209868E0,1.334149840E1,1.530169219E1
2.799463750E0,-3.173327789E0,5.253149067E0,1.209879784E1,1.356637363E1
2.809474750E0,-3.173178100E0,4.256190028E0,1.042568608E1,1.169953602E1
2.819486750E0,-3.163147786E0,2.968323823E0,9.013485267E0,1.000296790E1
2.829497750E0,-2.495848333E0,2.252822848E0,6.055478856E0,6.926275613E0
2.839509750E0,-2.204918803E0,2.693569592E0,1.975809837E0,4.002600228E0
2.849520750E0,-1.936393318E0,2.736141999E0,1.163502359E-1,3.354046735E0
2.859532750E0,-4.922286124E0,-9.525686740E0,4.029094112E-1,1.072986228E1
2.869543750E0,-6.151119424E0,-3.011352080E1,2.773412444E0,3.086020450E1
2.879555750E0,7.746533091E-1,-4.285053872E1,5.373149720E0,4.319304914E1
2.889566750E0,9.261052870E0,-4.281079637E1,5.920691764E0,4.419938887E1
2.899577750E0,1.354490783E1,-3.415751128E1,4.355486567E0,3.700230220E1
2.909589750E0,9.636190345E0,-2.411486226E1,1.752231899E0,2.602792852E1
2.919600750E0,4.677976882E0,-1.649896445E1,-3.272052178E-1,1.715244469E1
2.929612750E0,2.253726535E0,-1.017798399E1,-1.138190932E0,1.048647319E1
2.939623750E0,1.338994989E0,-5.610950718E0,-2.119642571E0,6.145613083E0
2.949635750E0,2.225181598E0,-3.497450062E0,-2.412371436E0,4.796157423E0
2.959646750E0,3.129124300E0,-4.012414345E0,-1.548742362E0,5.318786578E0
2.969658750E0,3.023551944E0,-6.362634264E0,2.855458528E-1,7.050284928E0
2.979669750E0,2.336027557E0,-8.154820479E0,1.914281926E0,8.696125407E0
2.989681750E0,1.848474291E0,-8.501334665E0,2.740052032E0,9.121262710E0
2.999692750E0,1.477054621E0,-7.814556382E0,2.949001699E0,8.482074795E0
3.009704750E0,9.558623229E-1,-6.474071084E0,2.621950555E0,7.049957014E0
3.019715750E0,2.955543125E-1,-4.671652241E0,2.093327031E0,5.127738788E0
3.029727750E0,-1.199114095E-1,-2.651669614E0,1.708062324E0,3.156454877E0
3.039738750E0,6.255782537E-2,-6.685016406E-1,1.395383052E0,1.548515995E0
3.049750750E0,5.627791576E-1,1.317869437E0,1.301501473E0,1.935821871E0
3.059761750E0,1.049193460E0,3.349562868E0,1.417334084E0,3.785394858E0
3.069772750E0,1.319134482E0,5.127784764E0,1.301355146E0,5.452322219E0
3.079784750E0,1.614155894E0,6.815588239E0,1.268201580E0,7.118010786E0
3.089795750E0,1.622609360E0,8.263776326E0,1.298831488E0,8.521139803E0
3.099807750E0,1.563583765E0,9.302572194E0,1.513129018E0,9.553648677E0
3.109818750E0,1.541846594E0,1.016420795E1,1.992387863E0,1.047177271E1
3.119830750E0,1.191313033E0,1.056240568E1,2.259704436E0,1.086691790E1
3.129841750E0,7.435057761E-1,1.055523114E1,1.899634066E0,1.075054952E1
3.139853750E0,3.330193601E-1,1.041287834E1,1.599673072E0,1.054029844E1
3.149864750E0,8.128525112E-2,1.026205994E1,1.493618613E0,1.037050519E1
3.159876750E0,-4.618262485E-2,1.014202362E1,1.296521838E0,1.022466355E1
3.169887750E0,-7.723740645E-2,1.006423226E1,1.179576428E0,1.013341685E1
3.179899750E0,-3.949245997E-2,1.003495993E1,1.249090540E0,1.011247782E1
3.189910750E0,-2.762341619E-2,1.006117066E1,1.499087076E0,1.017227507E1
3.199922750E0,8.082862012E-2,1.025129989E1,2.332047358E0,1.051352118E1
3.209933750E0,-7.101553045E-2,1.037548890E1,2.755943595E0,1.073550363E1
